strategy,sample_period,total_return,annualized_return,annualized_volatility,downside_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_trade_return,best_trade_return,worst_trade_return,avg_holding_days,training_asset,evaluation_asset,strategy_family,optimized_on,ma_short_window,ma_long_window
"MA Crossover (30,200)",Train,0.28191447281154214,0.07388374190298119,0.09669976377245548,0.09218855065925004,0.7855694635958509,0.8240110188667036,-0.15764525033114019,0.4686709034860576,2,0.5,0.1747286978958671,0.419794114674805,-0.0703367188830708,324.0,SPY,SPY,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Train,0.25629882327847486,0.06768036893766594,0.10822841722838392,0.1486821299584911,0.6593042244672631,0.4799194947368589,-0.12883001185010623,0.5253462913316508,13,0.7692307692307693,0.020880194004086798,0.07174180586015955,-0.05194616255905482,23.384615384615383,SPY,SPY,RSI,fixed parameters,,
Bollinger Mean Reversion,Train,0.26223871934725174,0.06912681590795788,0.1035680398015966,0.14817794599727005,0.6972399181938777,0.4873314386480689,-0.09241212310835833,0.7480275702236909,16,0.6875,0.01612962340538751,0.05846406791610281,-0.030921072387697368,16.0,SPY,SPY,Bollinger,fixed parameters,,
Buy and Hold,Train,0.5223384773603741,0.1281935996437693,0.1681465305273979,0.11861757793360389,0.8015693752490118,1.1362659040347194,-0.24496379256133882,0.5233165207942708,1,1.0,0.516192686293121,0.516192686293121,0.516192686293121,1273.0,SPY,SPY,Benchmark,not applicable,,
"MA Crossover (30,200)",Test,0.021650976527122223,0.014420817681289888,0.12564719046242445,0.11124712979609364,0.17698440805893795,0.19989363922485381,-0.1226139186816626,0.11761158795299623,2,0.5,-0.020502098661638546,0.0704659582042555,-0.11147015552753259,242.0,SPY,SPY,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Test,0.036694753856111983,0.024381225078594193,0.12025937250293767,0.16018119537315348,0.25851520112429327,0.19408567776794577,-0.07196479309534476,0.3387937911013234,4,0.5,-0.001725022810444371,0.09213304335740657,-0.09402100596664498,18.0,SPY,SPY,RSI,fixed parameters,,
Bollinger Mean Reversion,Test,0.07617731945395922,0.05029735472975405,0.133930531168872,0.20248915051336383,0.4319605990997674,0.2857077148814344,-0.10539155761712304,0.47724273050863614,9,0.6666666666666666,0.011511125963203373,0.08977208888506594,-0.06258320542909501,10.222222222222221,SPY,SPY,Bollinger,fixed parameters,,
Buy and Hold,Test,0.13229510406906542,0.08659700998834108,0.17490131382216498,0.1360770879539414,0.5613796466664902,0.7215471702938363,-0.18755233666641336,0.46172184003425837,1,1.0,0.12782332235573657,0.12782332235573657,0.12782332235573657,547.0,SPY,SPY,Benchmark,not applicable,,
"MA Crossover (30,200)",Train,0.4258872096415487,0.1071970033671783,0.12990361829748842,0.1295181070895231,0.8489987704508097,0.8515258189763979,-0.16423631387412252,0.652699764373295,2,0.5,0.2688603640392348,0.6183195769779886,-0.08059884889951896,310.0,SPY,QQQ,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Train,0.3173829380449489,0.08232891927043284,0.14656177760718567,0.20192286482527655,0.6133138193359511,0.4451618872915138,-0.15939817503756215,0.5164985060276384,13,0.7692307692307693,0.016932192426819263,0.0800147984450883,-0.06957083587957913,24.384615384615383,SPY,QQQ,RSI,fixed parameters,,
Bollinger Mean Reversion,Train,0.09233309861195771,0.02567205568121378,0.13955614088074772,0.1937040350812065,0.2515338407108505,0.18122024198309933,-0.15939817503756182,0.16105614556229528,15,0.7333333333333333,0.009703759387313287,0.06486914528678045,-0.0836356793939147,19.533333333333335,SPY,QQQ,Bollinger,fixed parameters,,
Buy and Hold,Train,0.5786748198708636,0.14002181411235037,0.22673695036733638,0.15634052982948005,0.6914764794058985,1.0028318847469595,-0.3511871061773263,0.3987100085663413,1,1.0,0.5548804137930083,0.5548804137930083,0.5548804137930083,1273.0,SPY,QQQ,Benchmark,not applicable,,
"MA Crossover (30,200)",Test,0.05006998285524,0.033196716215925015,0.1609968409895674,0.13180137414206308,0.2835081664684354,0.3463083711628443,-0.1319321487972791,0.25161961294918017,2,0.5,0.02326475838984221,0.07072108198075666,-0.02419156520107224,242.5,SPY,QQQ,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Test,0.10011780654761093,0.06585814511122479,0.13815833013189763,0.21412564514457494,0.5283132643524706,0.3408787319248313,-0.07837930333075982,0.8402491769198831,3,0.6666666666666666,0.01066032270743352,0.11498973869990192,-0.1118483023282063,22.333333333333332,SPY,QQQ,RSI,fixed parameters,,
Bollinger Mean Reversion,Test,-0.005958888395202311,-0.00398707493861572,0.15127549730371673,0.23307728413215612,0.047348646174236134,0.030730965582231557,-0.10910216542484297,-0.03654441617258541,6,0.6666666666666666,0.01307628983695421,0.10570895866032437,-0.06296010440978439,14.666666666666666,SPY,QQQ,Bollinger,fixed parameters,,
Buy and Hold,Test,0.16575062568292154,0.1079535500433022,0.21587734820829937,0.16246894310782584,0.581703947276178,0.7729274480288836,-0.2276831256142765,0.4741394416123263,1,1.0,0.15705750508557137,0.15705750508557137,0.15705750508557137,547.0,SPY,QQQ,Benchmark,not applicable,,
"MA Crossover (30,200)",Train,-0.024641773413883294,-0.007135600732857461,0.1818650101621158,0.17609747349890814,0.05150913206133536,0.053196156876348384,-0.31656918533830447,-0.02254041474451134,4,0.5,0.012596666196318024,0.19518348907281147,-0.21399363913379854,163.25,SPY,AAPL,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Train,0.34230136705044045,0.08816561360197128,0.16425937200390425,0.2128991416735585,0.596666322941683,0.4603496037224838,-0.17253856743899554,0.5109907594030766,16,0.6875,0.01968321568060931,0.0872070150019808,-0.07146948480236659,22.9375,SPY,AAPL,RSI,fixed parameters,,
Bollinger Mean Reversion,Train,0.32852450089602625,0.08494827394609072,0.14219997819543104,0.19973833065368027,0.6443593378519026,0.45873960943146924,-0.17632887542932552,0.48176042488366516,15,0.8,0.03361403431585705,0.0979950024210352,-0.04942130972905889,17.8,SPY,AAPL,Bollinger,fixed parameters,,
Buy and Hold,Train,0.93425379209061,0.20846459365128056,0.26677598896070126,0.1760495285375996,0.8430054023350456,1.2774450563729527,-0.3091281747865572,0.674362968678667,1,1.0,0.8986250057874445,0.8986250057874445,0.8986250057874445,1273.0,SPY,AAPL,Benchmark,not applicable,,
"MA Crossover (30,200)",Test,0.057869623560462546,0.0383201980879222,0.19535469531088367,0.16914345178322154,0.2901678016166992,0.33513353237291704,-0.1895971582143502,0.2021137787550543,2,0.5,0.03566655759980775,0.08512194294133812,-0.013788827741722631,197.0,SPY,AAPL,MA,SPY train split,30.0,200.0
RSI Mean Reversion,Test,0.13967187480806498,0.09132380089043113,0.1890740048908886,0.2153194828552076,0.5530513987476077,0.4856394854990195,-0.10371544060661564,0.8805227105654885,6,0.5,0.034283237490926544,0.21876817945509264,-0.024219777250866548,22.5,SPY,AAPL,RSI,fixed parameters,,
Bollinger Mean Reversion,Test,0.016726478923580368,0.011149788885835843,0.19854273894303662,0.2641198475338463,0.15190665493966715,0.11419044656055753,-0.17479090680112253,0.06378929596447541,7,0.7142857142857143,0.030829214976554855,0.10611524574568154,-0.0159006572106678,15.571428571428571,SPY,AAPL,Bollinger,fixed parameters,,
Buy and Hold,Test,0.10630537512192295,0.06986160329993285,0.2916916851437505,0.21526646131701752,0.3755629391546902,0.5088976049931064,-0.33360518621616464,0.2094140204842767,1,1.0,0.10071359512529221,0.10071359512529221,0.10071359512529221,547.0,SPY,AAPL,Benchmark,not applicable,,
