ticker,strategy,sample_period,total_return,annualized_return,annualized_volatility,downside_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_trade_return,best_trade_return,worst_trade_return,avg_holding_days
SPY,"MA Crossover (30,200)",Train,0.2819146313804979,0.07388378002908169,0.0966998041392631,0.09218868091842328,0.7855695436087407,0.8240102824766045,-0.15764514676066832,0.4686714532433378,2,0.5,0.17472891474351226,0.41979422428490665,-0.07033639479788212,324.0
SPY,RSI Mean Reversion,Train,0.2563000736361385,0.06768067392965738,0.10822835094133514,0.1486817029506657,0.6593071997397519,0.479922744866996,-0.1288299437803625,0.5253489363081901,13,0.7692307692307693,0.020880254163740883,0.0717415585941581,-0.05194615414337567,23.384615384615383
SPY,Bollinger Mean Reversion,Train,0.2622398265019077,0.06912708506261844,0.10356798722635743,0.14817779988356702,0.6972426510047822,0.48733358188390286,-0.09241232372501029,0.7480288588816215,16,0.6875,0.01612962671837117,0.058463982287451755,-0.030921001780609858,16.0
SPY,Buy and Hold,Train,0.5223382253304172,0.1281935460356436,0.16814656104165301,0.11861761431962606,0.8015689769397019,1.136265197063456,-0.244963741430391,0.5233164111843512,1,1.0,0.5161928112927241,0.5161928112927241,0.5161928112927241,1273.0
SPY,"MA Crossover (30,200)",Test,0.02165097130102356,0.01442081421270447,0.12564712378603768,0.1112470872579027,0.17698440678474278,0.19989360814389615,-0.12261400731857075,0.11761147464365057,2,0.5,-0.02050200220273446,0.0704659582042555,-0.11146996260972442,242.0
SPY,RSI Mean Reversion,Test,0.036694634362921086,0.02438114615387099,0.12025937034926679,0.16018101394507026,0.25851455824695374,0.1940854114680444,-0.07196488230794018,0.3387922743977158,4,0.5,-0.0017251173259270058,0.09213285412278727,-0.09402119479395621,18.0
SPY,Bollinger Mean Reversion,Test,0.0761774313845558,0.05029742774884771,0.13393052643003422,0.2024890062881445,0.43196112428981925,0.28570825564287516,-0.10539179969459878,0.47724232715067116,9,0.6666666666666666,0.011511090202310103,0.08977196670560939,-0.06258320542909501,10.222222222222221
SPY,Buy and Hold,Test,0.1322949806596334,0.08659693082640141,0.1749012899112407,0.13607707552255952,0.561379279753194,0.7215466659701926,-0.18755246925491076,0.461721091545341,1,1.0,0.1278235672290009,0.1278235672290009,0.1278235672290009,547.0
QQQ,"MA Crossover (15,200)",Train,0.5168336057934098,0.12702117141144154,0.12657081078035243,0.12096108168160997,1.0081744746358672,1.0549298905791595,-0.1355774431801121,0.9368901524621339,2,0.5,0.2637993317707877,0.5839561080547602,-0.05635744451318481,307.5
QQQ,RSI Mean Reversion,Train,0.31738235130397663,0.08232878091387819,0.1465619231036605,0.20192309289485494,0.613312485522299,0.44516085828994595,-0.15939817503756126,0.5164976380342993,13,0.7692307692307693,0.01693224974448287,0.0800149919383395,-0.069571126864297,24.384615384615383
QQQ,Bollinger Mean Reversion,Train,0.09233384418019375,0.02567225661212147,0.13955621078828992,0.19370433035299509,0.25153519127416096,0.18122102954621358,-0.1593981750375616,0.16105740612194522,15,0.7333333333333333,0.009703698903412494,0.06486924648758574,-0.08363576473800305,19.533333333333335
QQQ,Buy and Hold,Train,0.5786748198708569,0.14002181411234882,0.22673703444202511,0.1563407720822185,0.6914763103403707,1.0028304575023965,-0.3511872183733441,0.39870988118791056,1,1.0,0.5548801077392194,0.5548801077392194,0.5548801077392194,1273.0
QQQ,"MA Crossover (15,200)",Test,0.0743262817287782,0.04908946632468436,0.15849037365947577,0.1293604846259413,0.38176972859009717,0.4677380972333449,-0.13193205009590203,0.37208143350308737,2,0.5,0.026316348100002607,0.08157171697970411,-0.0289390207796989,242.5
QQQ,RSI Mean Reversion,Test,0.10011786881345941,0.0658581854357545,0.13815830262846948,0.21412547888993427,0.5283136163780888,0.34087915587020934,-0.07837930333075982,0.8402496913991907,3,0.6666666666666666,0.010660342826915081,0.11498973869990192,-0.11184824196976162,22.333333333333332
QQQ,Bollinger Mean Reversion,Test,-0.005959022920114299,-0.003987165038149776,0.15127544115678274,0.23307709860160308,0.047348009943557555,0.030730565701567993,-0.1091021603855652,-0.036545243687743686,6,0.6666666666666666,0.013076286543412918,0.10570887854063193,-0.06296010440978439,14.666666666666666
QQQ,Buy and Hold,Test,0.16575062568292065,0.10795355004330154,0.21587725251948203,0.16246879284462004,0.5817041078651277,0.7729280336643956,-0.22768298094882522,0.47413974287153915,1,1.0,0.15705757770882078,0.15705757770882078,0.15705757770882078,547.0
AAPL,"MA Crossover (15,50)",Train,0.5381428002099093,0.1315428956588287,0.17011064343716886,0.1538417857251751,0.8114637069739128,0.8972764627539913,-0.21563584573768424,0.6100233252445766,10,0.5,0.04342358992145099,0.23031778885098642,-0.06121278203563307,67.1
AAPL,RSI Mean Reversion,Train,0.3423015499988755,0.08816565616962069,0.16425936631883026,0.21289956589954576,0.5966665850703136,0.46034887273332503,-0.17253850105618207,0.5109912027166166,16,0.6875,0.01968319279430155,0.08720740609271127,-0.07146948480236659,22.9375
AAPL,Bollinger Mean Reversion,Train,0.32852502248254534,0.08494839620254235,0.14219999136771216,0.19973878009796334,0.6443600908783507,0.45873915578967733,-0.17632892479756368,0.4817609833444415,15,0.8,0.03361408391750144,0.09799531261131311,-0.04942130484753493,17.8
AAPL,Buy and Hold,Train,0.9342537920906062,0.2084645936512799,0.2667758096814444,0.17604963524184775,0.8430057936097758,1.2774440165550445,-0.30912813194973743,0.67436306212718,1,1.0,0.8986247622819497,0.8986247622819497,0.8986247622819497,1273.0
AAPL,"MA Crossover (15,50)",Test,-0.0012702536735159642,-0.0008492609366265169,0.1716569424095037,0.1565570244467227,0.0806289638659053,0.08840562380244825,-0.2806002524079033,-0.003026586502823106,6,0.16666666666666666,0.0029482652129847464,0.237758830009708,-0.10309628479304445,53.5
AAPL,RSI Mean Reversion,Test,0.13967164327869952,0.09132365269354348,0.1890739108448165,0.21531923877935533,0.5530508659077409,0.4856393265463961,-0.10371554895671586,0.8805203618182269,6,0.5,0.03428322280148518,0.21876816001021093,-0.02421977884373061,22.5
AAPL,Bollinger Mean Reversion,Test,0.016726823289530124,0.01115001780952185,0.19854266772183685,0.26411972338051537,0.15190778329249344,0.11419130747441673,-0.17479077652043895,0.06379065321114376,7,0.7142857142857143,0.030829212270914095,0.10611516439260416,-0.0159006572106678,15.571428571428571
AAPL,Buy and Hold,Test,0.10630537512192606,0.06986160329993485,0.2916916562353409,0.215266429806843,0.3755629509807734,0.5088976450741116,-0.3336051269846557,0.20941405766569096,1,1.0,0.10071359512529221,0.10071359512529221,0.10071359512529221,547.0
